State/UT & Code,Constituency Name & Code,Code Name,Category,Men,Women,Third Gender,Total
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Candidate Runner-Up: - Kothapalli Geetha,NA,NA,NA,403220
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Candidate Votes ,NA,NA,NA,NA
Andhra Pradesh-S01,Visakhapatnam-GEN,S01_4,Result - Votes- Margin,NA,NA,NA,504247
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Nominated,21,4,0,25
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Nomination Rejected,1,2,0,3
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Withdrawn,6,1,0,7
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Contested,14,1,0,15
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Candidates - Forfeited Deposit,12,1,0,13
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Electors - General,779819,816949,33,1596801
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Electors - Overseas,94,21,0,115
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Electors - Service,4278,171,0,4449
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Electors - Total,784191,817141,33,1601365
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - General,638070,671515,16,1309601
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Overseas,0,0,0,0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Proxy,NA,NA,NA,0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Postal,NA,NA,NA,19125
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Total,NA,NA,NA,1328726
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,NA,NA,NA,3253
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Voters - Polling Percentage,NA,NA,NA,82.97
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Total Votes Polled On Evm,NA,NA,NA,1309601
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Total Deducted Votes From Evm,NA,NA,NA,29337
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Total Valid Votes Polled On Evm,NA,NA,NA,1280264
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Postal Votes Counted,NA,NA,NA,19125
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Postal Votes Deducted,NA,NA,NA,292
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Valid Postal Votes,NA,NA,NA,18833
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Total Valid Votes Polled,NA,NA,NA,1299097
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Test Votes Polled On Evm,NA,NA,NA,0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Votes Polled For 'Nota'(Including Postal),NA,NA,NA,26235
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Votes - Tendered Votes,NA,NA,NA,0
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Polling Station - Number,NA,NA,NA,1828
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Polling Station - Average Electors Per Polling,NA,NA,NA,876
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Polling Station - Dates(S) Of Re-Poll If Any,NA,NA,NA,NA
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Polling Station - Numbers Of Polling Stations Where Re-Poll Was Order,NA,NA,NA,NA
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Dates - Polling Date - 13/05/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Dates - Counting Date - 04/06/2024,NA,NA,NA,NA
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,"Dates - Declaration Of
Result Date - 04/06/2024",NA,NA,NA,NA
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Party-Winner: - Yuvajana Sramika Rythu Congress Party,NA,NA,NA,NA
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Candidate -Winner: - Gumma Thanuja Rani,NA,NA,NA,NA
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Winner - Votes ,NA,NA,NA,477005
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Party Runner-Up: - Bharatiya Janata Party,NA,NA,NA,NA
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Candidate Runner-Up: - Kothapalli Geetha,NA,NA,NA,465539
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Candidate Votes ,NA,NA,NA,NA
Andhra Pradesh-S01,Anakapalle-GEN,S01_5,Result - Votes- Margin,NA,NA,NA,296530
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Nominated,26,2,0,28
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Nomination Rejected,9,1,0,10
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Withdrawn,3,0,0,3
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Contested,14,1,0,15
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Candidates - Forfeited Deposit,12,1,0,13
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Electors - General,804231,829405,186,1633822
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Electors - Overseas,234,66,0,300
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Electors - Service,769,30,0,799
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Electors - Total,805234,829501,186,1634921
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - General,652890,659778,102,1312770
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Overseas,0,0,0,0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Proxy,NA,NA,NA,0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Postal,NA,NA,NA,18616
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Total,NA,NA,NA,1331386
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Votes Not Counted From Cu(S) As Per Eci Instructions,NA,NA,NA,0
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Voters - Polling Percentage,NA,NA,NA,81.43
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Total Votes Polled On Evm,NA,NA,NA,1312770
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Total Deducted Votes From Evm,NA,NA,NA,17105
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Total Valid Votes Polled On Evm,NA,NA,NA,1295665
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Postal Votes Counted,NA,NA,NA,18616
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Postal Votes Deducted,NA,NA,NA,1698
Andhra Pradesh-S01,Kakinada-GEN,S01_6,Votes - Valid Postal Votes,NA,NA,NA,16918
